                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.8800000000000001E+001          6.9999999999999984E-001          2.6500000000000000E+003                       "gfortran"                         "13.3.0"            "x86_64-macos-24.7.1"                       "20240911" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                             edot                       edot_tidal                     edot_enhance                       extra_edot                      star_1_mass                      star_2_mass                    sum_of_masses                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                         J_spin_1                         J_spin_2                          J_total                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      lg_t_sync_1                      lg_t_sync_2                P_rot_div_P_orb_1                P_rot_div_P_orb_2                      donor_index                 point_mass_index 
                              10          2.5958682111999998E+001          2.6500001629053359E+003          2.1691017454561784E+003          0.0000000000000000E+000          1.4865707880692993E+000          3.9925042749569627E+001          5.5560218610662613E+000          1.2503388660441987E+000          1.4088239132990504E+003          3.3381642168576735E+002         -9.9605626948221260E-001         -9.9625441175203422E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999400631240E+001          6.9999999999999984E-001          1.9499999400631239E+001         -9.8999999999999986E+001         -7.6365916525763842E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365916525763842E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306660895171E+053          1.2140877334804755E+049          0.0000000000000000E+000          8.3860520748628644E+053         -1.1715511490525393E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715511490133918E+036         -3.9147529270963279E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9382930626608641E+001         -9.8999999999999986E+001          1.0283266305917940E+000         -9.9999999999999997E+098                                1                                0 
                              11          3.2150418534399996E+001          2.6500002017616043E+003          2.1691017613586682E+003          0.0000000000000000E+000          1.4865707880692993E+000          3.9925042445965737E+001          5.5560215923140817E+000          1.2503383877638903E+000          1.4088239225613579E+003          3.3381642490987196E+002         -9.9605626969890404E-001         -9.9625441322097474E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999257669516E+001          6.9999999999999984E-001          1.9499999257669515E+001         -9.8999999999999986E+001         -7.6365926768084469E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365926768084469E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306638003543E+053          1.2140876582113429E+049          0.0000000000000000E+000          8.3860520725661762E+053         -1.1715484033047400E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715484032302289E+036         -7.4511107864550241E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9382982506112441E+001         -9.8999999999999986E+001          1.0324505953320282E+000         -9.9999999999999997E+098                                1                                0 
                              12          3.9580502241279994E+001          2.6500002483890107E+003          2.1691017804416083E+003          0.0000000000000000E+000          1.4865707880692993E+000          3.9925042081641962E+001          5.5560213515872006E+000          1.2503378138284971E+000          1.4088239336760994E+003          3.3381642877878795E+002         -9.9605626990088847E-001         -9.9625441498370038E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799999086115868E+001          6.9999999999999984E-001          1.9499999086115871E+001         -9.8999999999999986E+001         -7.6365937524858181E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365937524858181E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306610533653E+053          1.2140875682342277E+049          0.0000000000000000E+000          8.3860520698101885E+053         -1.1715455223438289E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715455221110540E+036         -2.3277493865495222E+026          0.0000000000000000E+000          0.0000000000000000E+000          1.9383044720204694E+001         -9.8999999999999986E+001          1.0367960709470720E+000         -9.9999999999999997E+098                                1                                0 
                              13          4.8496602689535990E+001          2.6500003043417537E+003          2.1691018033410764E+003          0.0000000000000000E+000          1.4865707880692995E+000          3.9925041644454602E+001          5.5560211510512056E+000          1.2503371251076738E+000          1.4088239470137544E+003          3.3381643342147487E+002         -9.9605627008056752E-001         -9.9625441709896578E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799998880252033E+001          6.9999999999999984E-001          1.9499998880252033E+001         -9.8999999999999986E+001         -7.6365948895669256E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365948895669256E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306577569871E+053          1.2140874607029817E+049          0.0000000000000000E+000          8.3860520665030573E+053         -1.1715424795585621E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715424794803451E+036         -7.8217011097639618E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9383119339506575E+001         -9.8999999999999986E+001          1.0412590569197002E+000         -9.9999999999999997E+098                                1                                0 
                              14          5.9195923227443188E+001          2.6500003714848608E+003          2.1691018308203625E+003          0.0000000000000000E+000          1.4865707880692995E+000          3.9925041119831199E+001          5.5560210070084528E+000          1.2503362986448292E+000          1.4088239630188955E+003          3.3381643899268408E+002         -9.9605627022761400E-001         -9.9625441963727779E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799998633216113E+001          6.9999999999999984E-001          1.9499998633216116E+001         -9.8999999999999986E+001         -7.6365960993900517E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365960993900517E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306538013441E+053          1.2140873322157786E+049          0.0000000000000000E+000          8.3860520625345653E+053         -1.1715392455831611E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715392455780710E+036         -5.0901734629326236E+024          0.0000000000000000E+000          0.0000000000000000E+000          1.9383208850993448E+001         -9.8999999999999986E+001          1.0457339144331870E+000         -9.9999999999999997E+098                                1                                0 
                              15          7.2035107872931832E+001          2.6500004520563521E+003          2.1691018637954085E+003          0.0000000000000000E+000          1.4865707880693002E+000          3.9925040490285014E+001          5.5560209412908117E+000          1.2503353068928251E+000          1.4088239822250091E+003          3.3381644567811531E+002         -9.9605627032802491E-001         -9.9625442268324160E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799998336773900E+001          6.9999999999999984E-001          1.9499998336773899E+001         -9.8999999999999986E+001         -7.6365973969511538E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365973969511538E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306490545871E+053          1.2140871787050191E+049          0.0000000000000000E+000          8.3860520577724582E+053         -1.1715357810112677E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715357809427138E+036         -6.8553928084285471E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9383316242209947E+001         -9.8999999999999986E+001          1.0500726344831051E+000         -9.9999999999999997E+098                                1                                0 
                              16          8.7442129447518198E+001          2.6500005487418371E+003          2.1691019033653383E+003          0.0000000000000000E+000          1.4865707880692995E+000          3.9925039734832019E+001          5.5560209831192680E+000          1.2503341167950832E+000          1.4088240052722724E+003          3.3381645370060744E+002         -9.9605627036285094E-001         -9.9625442633838390E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799997981044392E+001          6.9999999999999984E-001          1.9499997981044391E+001         -9.8999999999999986E+001         -7.6365988009112264E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6365988009112264E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306433584968E+053          1.2140869952925268E+049          0.0000000000000000E+000          8.3860520520580266E+053         -1.1715320364562963E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715320364245824E+036         -3.1713943768129161E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9383445102910358E+001         -9.8999999999999986E+001          1.0540980362125403E+000         -9.9999999999999997E+098                                1                                0 
                              17          1.0593055533702184E+002          2.6500006647640125E+003          2.1691019508490867E+003          0.0000000000000000E+000          1.4865707880693002E+000          3.9925038828291640E+001          5.5560211715188412E+000          1.2503326886847861E+000          1.4088240329288899E+003          3.3381646332756401E+002         -9.9605627030654209E-001         -9.9625443072453301E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799997554170488E+001          6.9999999999999984E-001          1.9499997554170491E+001         -9.8999999999999986E+001         -7.6366003354039371E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6366003354039371E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306365232125E+053          1.2140867761013269E+049          0.0000000000000000E+000          8.3860520452008231E+053         -1.1715279483349371E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715279483494735E+036          1.4536299326746065E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9383599747632843E+001         -9.8999999999999986E+001          1.0576021195869969E+000         -9.9999999999999997E+098                                1                                0 
                              18          1.2811666640442621E+002          2.6500008039900908E+003          2.1691020078293654E+003          0.0000000000000000E+000          1.4865707880693002E+000          3.9925037740447422E+001          5.5560215586213655E+000          1.2503309749624227E+000          1.4088240661167038E+003          3.3381647487986766E+002         -9.9605627012467501E-001         -9.9625443598788110E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799997041923810E+001          6.9999999999999984E-001          1.9499997041923812E+001         -9.8999999999999986E+001         -7.6366020318567154E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6366020318567154E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306283209035E+053          1.2140865140271492E+049          0.0000000000000000E+000          8.3860520369723055E+053         -1.1715234336401259E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715234336540972E+036          1.3971232567877362E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9383785363850571E+001         -9.8999999999999986E+001          1.0603626326947604E+000         -9.9999999999999997E+098                                1                                0 
                              19          1.5473999968531146E+002          2.6500009710606682E+003          2.1691020762054050E+003          0.0000000000000000E+000          1.4865707880693002E+000          3.9925036435040077E+001          5.5560222140889142E+000          1.2503289185100144E+000          1.4088241059419079E+003          3.3381648874257229E+002         -9.9605626977089923E-001         -9.9625444230385451E-001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.8799996427230486E+001          6.9999999999999984E-001          1.9499996427230485E+001         -9.8999999999999986E+001         -7.6366039318519281E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -7.6366039318519281E+000         -9.8999999999999986E+001          1.0000000000000000E+000          0.0000000000000000E+000          8.3859306184781747E+053          1.2140862004516348E+049          0.0000000000000000E+000          8.3860520270982197E+053         -1.1715183822377087E+036          0.0000000000000000E+000          0.0000000000000000E+000         -1.1715183822256087E+036         -1.2100091637407622E+025          0.0000000000000000E+000          0.0000000000000000E+000          1.9384008191142563E+001         -9.8999999999999986E+001          1.0604289812493264E+000         -9.9999999999999997E+098                                1                                0 
