                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        0                         2   0.1463383579098146E+001   0.6780973727791616E-002
                        1                         2                         3                         4                         5                         6
                      rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.9832344646804037E+003   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000
  0.9831787297128819E+003   0.1672806268316501E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.9065263835113136E-010  -0.2451727777343992E-010
  0.9831423601927194E+003   0.2107617817301491E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.3240308551697621E-010  -0.2569005575705010E-010
  0.9830857498762948E+003   0.2655461811420471E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2931416222722523E-010  -0.9985624180862556E-011
  0.9829960774321091E+003   0.3345732883631137E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.7337436472067454E-010   0.7347807255879341E-011
  0.9828537342850922E+003   0.4215481312074705E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1147169981909807E-009   0.1834112343530626E-010
  0.9826277862603495E+003   0.5311418178406242E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1597561846388563E-009   0.2951807626054276E-010
  0.9822687472267061E+003   0.6692457053987019E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2103302220350451E-009   0.4130121612598158E-010
  0.9817050740814610E+003   0.8432947070285312E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2709464017842256E-009   0.5448265534497928E-010
  0.9810857464152879E+003   0.1003895313807764E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3256277140448229E-009   0.6619694337086277E-010
  0.9805438880130040E+003   0.1125044677158893E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3665533576289435E-009   0.7479638544159399E-010
  0.9795788963421099E+003   0.1310210446864325E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4284874568279074E-009   0.8777283100514104E-010
  0.9779454021107629E+003   0.1574295819410533E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5161136224768964E-009   0.1060067874649239E-009
  0.9752527006128723E+003   0.1932256308282966E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6343555119937427E-009   0.1305285120649068E-009
  0.9708815792815000E+003   0.2402295365357668E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7893540314608656E-009   0.1626078598020703E-009
  0.9640489884218618E+003   0.3008915142123737E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9894626917249712E-009   0.2040003389872807E-009
  0.9592192320913964E+003   0.3383113123677926E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1114099915383648E-008   0.2297863618051096E-009
  0.9547551898582796E+003   0.3690322446038421E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1216586320297301E-008   0.2509962161987317E-009
  0.9457247890956651E+003   0.4246120771014186E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1401671431312386E-008   0.2893207716904956E-009
  0.9378587322653879E+003   0.4688870741412121E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1549761773669897E-008   0.3200056010351397E-009
  0.9311171459610140E+003   0.5039322848552763E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1667319499660242E-008   0.3443777687591861E-009
