                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        0                         1   0.1436625831407133E+001   0.7667757976963338E-002
                        1                         2                         3                         4                         5                         6
                      rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.1004307648010809E+004   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000
  0.1004252472012612E+004   0.1590467035051946E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.3436558523191048E-010   0.9359251121876447E-011
  0.1004216467253293E+004   0.2003875840758960E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.5190734849305324E-010   0.1228450131453625E-010
  0.1004160424706950E+004   0.2524752813584582E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.6886114446138557E-010   0.1615570065244058E-010
  0.1004071651626527E+004   0.3181045128183035E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.8884094603324018E-010   0.2005623095446124E-010
  0.1003930736087644E+004   0.4007978176494597E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1135057423097394E-009   0.2514329980427195E-010
  0.1003707054133618E+004   0.5049961418037875E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1439276064884028E-009   0.3166358417584730E-010
  0.1003351615883409E+004   0.6363003744604277E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1819378646629685E-009   0.3984743571010034E-010
  0.1002793595151423E+004   0.8017784981583984E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2296378045254620E-009   0.5019896610366087E-010
  0.1002180476057176E+004   0.9544687951419539E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2737712069741180E-009   0.5979681986532677E-010
  0.1001644049170796E+004   0.1069649755428823E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3071379081361920E-009   0.6706260184415372E-010
  0.1000688731596463E+004   0.1245690839037477E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3579330967717977E-009   0.7813197774405902E-010
  0.9990716119507865E+003   0.1496756312294087E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4301724352393179E-009   0.9388420632269642E-010
  0.9964058988117358E+003   0.1837054730462355E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5279699878035819E-009   0.1152222956989351E-009
  0.9920785828291962E+003   0.2283871659678329E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6564214494335629E-009   0.1432638341503371E-009
  0.9853142948559646E+003   0.2860458694761477E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8224042118353049E-009   0.1795213827209474E-009
  0.9805326378947002E+003   0.3216091391799962E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9258145621637463E-009   0.2021235110097732E-009
  0.9761085850181672E+003   0.3508032235058403E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1010844925355764E-008   0.2207157305403992E-009
  0.9672567772178166E+003   0.4036134455391928E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1164375875434721E-008   0.2543027453546492E-009
  0.9632895812098568E+003   0.4256383313312377E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1228759945999596E-008   0.2683944316546860E-009
  0.9594530446817365E+003   0.4456705688852231E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1287372674673332E-008   0.2812262507420709E-009
  0.9527246889293679E+003   0.4789587203846545E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1384817835486719E-008   0.3025663803554194E-009
  0.9464725198554697E+003   0.5083565749841650E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1471052766311983E-008   0.3214585930694183E-009
  0.9405534869181746E+003   0.5348600450888103E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1548943233673071E-008   0.3385281760887838E-009
  0.9349091166087019E+003   0.5591109907434471E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1620341187937459E-008   0.3541793203781662E-009
