x, y
1168.9709832239882, 4.5387087910071276e-13
1198.0946929430042, 4.75182274812302e-13
1214.9210263119821, 4.820318010120115e-13
1261.1226781232506, 2.2137784780204019e-13
1240.207703001063, 3.179646610032514e-13
1274.3478616403631, 3.473961411182391e-13
1278.515131119596, 4.852428568770975e-13
1279.4272127414656, 6.032156036254117e-13
1287.6516728834988, 7.242088648600222e-13
1296.7882146474017, 5.465188252619698e-13
1306.8368380331744, 4.0524835957197216e-13
1325.1099215609804, 3.4129958713191506e-13
1350.7897368801775, 4.255305226960864e-13
1370.179334117514, 3.681350840933894e-13
1412.7955616221213, 3.8129183819450156e-13
1447.1087012586727, 4.2899768235977504e-13
1465.99508104946, 5.51297042671848e-13
1483.1673764129403, 4.844559622319989e-13
1515.1845864496122, 6.075027635707062e-13
1524.321128213515, 8.605373477474571e-13
1542.8458204645954, 5.70662921708874e-13
1573.6049868848952, 7.93932792736169e-13
1605.3391371078835, 7.333484399497013e-13
1644.6844512099233, 9.4019050089511e-13
1673.1634135755485, 9.545875787031714e-13
1688.700252237745, 7.771280611857813e-13
1733.109191895683, 9.17578379255462e-13
1763.3965919598431, 7.17720161486061e-13
1784.4530969888724, 8.76943404040388e-13
1804.0314007686645, 2.2759598556374623e-12
1816.2344238474748, 3.405827651936501e-12
1828.0443082961685, 1.7577858298752003e-12
1835.2937846355132, 1.1744750968195597e-12
1844.2730709473697, 8.371192807226344e-13
1878.7749171263767, 9.543059357896806e-13
1904.5019090811877, 1.3557843883089974e-12
1929.6942324990405, 1.0177125970882225e-12
1948.8951231939209, 1.0816553599433503e-12
1976.9494958390205, 2.9893632723919193e-12
1986.9981192247933, 4.049943259687584e-12
1998.2104329557105, 2.3524360242250923e-12
2018.5592884505304, 1.6673486864383577e-12
2043.8459651396113, 1.9168101257172854e-12
2067.63871503425, 1.6148111746005012e-12
2082.294923164986, 1.8241025863115835e-12
2106.669518232197, 1.185967771950902e-12
2123.1184385162633, 1.5371635017679837e-12
2162.605282525145, 1.3704659252985441e-12
2177.245765110676, 1.1152001608346203e-12
2181.507387861137, 6.845205076495183e-13
2205.55174647905, 9.69491158142495e-13
2227.3630776779028, 1.2951700472512787e-12
2248.07362071243, 2.303322901857932e-12
2269.8535008208733, 1.778394201399455e-12
2279.005768129981, 1.4129674542465667e-12
2294.558332337382, 1.0175624523071137e-12
2310.5826629009225, 2.118787025101608e-12
2314.7027557445417, 3.849519179721752e-12
2323.603414330375, 6.860118188026844e-12
2341.860772312976, 3.474345850158081e-12
2379.6492574397553, 3.882602658146795e-12
2428.115387760494, 4.9703579359961415e-12
2444.139718324034, 7.358141271515736e-12
2478.2169747825155, 5.57081970269746e-12
2495.845310956931, 6.980598686525228e-12
2529.010485793542, 5.098858590013949e-12
2550.9790724444415, 6.3835472085563334e-12
2570.71463167628, 8.641953682275441e-12
2597.259351981733, 8.948167002915357e-12
2631.5095894374654, 8.434109731840105e-12
2655.270888241695, 1.174778384701921e-11
2717.952911427439, 1.4438944349041112e-11
2756.9365379897718, 1.9079926265191878e-11
2784.2675355554575, 2.0821413653355257e-11
2801.0466922888218, 3.709429902652234e-11
2819.933072079609, 1.3325318956062468e-11
2867.36131641684, 1.6059605837047467e-11
2915.8117211923736, 1.7365833579183395e-11
2972.093447479824, 1.7981163140237204e-11
3037.0399491750377, 2.273191184427594e-11
3105.3674430892515, 2.7865194223873484e-11
3155.5791089277063, 3.9646590674609355e-11
3175.0945105266796, 4.9321882879355525e-11
3205.1460274127703, 4.4396918063067534e-11
3244.6957736024706, 4.477186713185613e-11
3308.871723582656, 6.292606821119379e-11
3394.7332004000577, 5.542739518450794e-11
3446.7847550274564, 6.238987808221715e-11
3510.4574875610933, 8.218825727284247e-11
3575.7656767960143, 7.979843852482123e-11
3646.2632959484704, 1.02079545205607e-10
3804.2892997100207, 1.3141301095714153e-10
3717.814526629638, 1.1276923356220243e-10
3935.7234065305042, 1.2929743453826846e-10
4058.1153248583123, 3.8869014028176386e-10
4156.6673166558685, 4.696930964968874e-10
4219.852557288161, 5.204891659363265e-10
4326.86489240582, 8.318558165730521e-10
4510.067494040019, 1.1318178314653074e-9
4651.927637331186, 1.6869589916269962e-9
4960.478559791667, 2.2733588867650227e-9
5093.53239776823, 2.6285707059081706e-9
5192.021487384967, 2.115741257855062e-9
5277.458374481843, 3.0383875777103912e-9
5362.816633852695, 3.901121057482339e-9
5463.114161167967, 3.901696681087498e-9
5612.019348710819, 3.947440373755967e-9
5828.450027362448, 5.648827984724446e-9
5897.78395616976, 4.480160289097552e-9
