JD,RV,RV_err,source
2423409.73,24.3,1.0,Lick v16
2423422.721,23.9,1.0,Sanford1933
2423422.766,23.3,1.0,Sanford1933
2423495.63,24.7,1.0,Lick v16
2423696.009,22.9,1.0,Sanford1933
2423696.035,23.9,1.0,Sanford1933
2423713.94,23.2,1.0,Sanford1933
2423747.849,20.9,1.0,Sanford1933
2423769.803,23.6,1.0,Sanford1933
2423769.828,22.6,1.0,Sanford1933
2423802.661,21.9,1.0,Sanford1933
2423802.687,21.9,1.0,Sanford1933
2423834.62,21.7,1.0,Sanford1933
2424100.81,20.2,1.0,Sanford1933
2424131.802,18.3,1.0,Sanford1933
2424159.658,18.6,1.0,Sanford1933
2424191.679,15.7,1.0,Sanford1933
2424191.71,16.8,1.0,Sanford1933
2424403.014,19.6,1.0,Sanford1933
2424467.72,17.65,1.0,Lick v16
2424472.63,18.1,1.0,Lick v16
2424480.936,19.2,1.0,Sanford1933
2424482.961,19.1,1.0,Sanford1933
2424508.888,21.1,1.0,Sanford1933
2424514.72,23.0,1.0,Lick v16
2424529.85,21.75,1.0,Lick v16
2424536.82,22.5,1.0,Lick v16
2424536.86,21.5,1.0,Lick v16
2424537.79,22.7,1.0,Sanford1933
2424579.66,21.3,1.0,Lick v16
2424579.71,21.4,1.0,Lick v16
2424597.701,18.9,1.0,Sanford1933
2424807.0,15.4,1.0,Sanford1933
2424835.92,16.1,1.0,Sanford1933
2424879.833,16.1,1.0,Sanford1933
2424903.696,18.1,1.0,Sanford1933
2424914.69,16.4,1.0,Sanford1933
2425164.0,21.65,1.0,Lick v16
2425176.0,22.5,1.0,Lick v16
2425177.0,22.6,1.0,Lick v16
2425189.95,19.4,1.0,Sanford1933
2425248.756,21.8,1.0,Sanford1933
2425248.806,22.4,1.0,Sanford1933
2425314.627,22.8,1.0,Sanford1933
2425343.622,23.0,1.0,Sanford1933
2425513.0,25.5,1.0,Lick v16
2425528.0,26.6,1.0,Lick v16
2425536.0,25.9,1.0,Lick v16
2425549.0,26.0,1.0,Lick v16
2425561.0,24.6,1.0,Lick v16
2425571.0,24.3,1.0,Lick v16
2425587.0,22.6,1.0,Lick v16
2425592.883,27.0,1.0,Sanford1933
2425609.876,22.8,1.0,Sanford1933
2425613.816,20.5,1.0,Sanford1933
2425696.712,23.7,1.0,Sanford1933
2425906.966,23.7,1.0,Sanford1933
2425929.848,21.0,1.0,Sanford1933
2425932.863,23.7,1.0,Sanford1933
2425945.0,23.8,1.0,Lick v16
2425948.0,23.1,1.0,Lick v16
2425966.906,21.8,1.0,Sanford1933
2426025.0,20.25,1.0,Lick v16
2426252.963,18.0,1.0,Sanford1933
2426290.93,19.3,1.0,Sanford1933
2426603.992,18.6,1.0,Sanford1933
2428527.0,22.5,1.0,Adams1956
2428589.0,22.8,1.0,Adams1956
2428829.0,20.0,1.0,Adams1956
