JD,RV,RV_err,NP
2419671.6314271325,22.1,1.0,2
2419681.6324235797,21.3,1.0,1
2419691.633420028,20.5,1.0,2
2419701.634416475,20.0,1.0,1
2419801.6443809504,25.4,1.0,1
2419811.6453773975,23.4,1.0,1
2420031.6672992436,20.55,1.0,1
2421261.7898622896,23.1,1.0,1
2421291.7928516325,23.950000000000003,1.0,2
2421621.8257344,21.6,1.0,2
2421961.8596136165,21.0,1.0,1
2422291.8924963847,19.0,1.0,1
2422681.931357838,19.166666666666664,1.0,3
2422741.937336524,21.3,1.0,1
2422961.959258369,21.6,1.0,1
2422971.9602548173,23.1,1.0,2
2422981.9612512644,22.225,1.0,2
2422991.9622477116,20.7,1.0,1
2423061.9692228446,19.875,1.0,4
2423071.9702192917,23.0,2.5,2
2423081.97121574,28.6,1.0,1
2423361.999116271,21.3,1.0,1
2423382.001109165,26.6,1.0,1
2423412.0040985085,24.3,1.0,1
2423422.0050949557,23.6,1.0,2
2423492.0120700886,24.7,1.0,1
2423692.0319990385,23.4,1.0,2
2423712.033991934,23.2,1.0,1
2423752.0379777243,20.9,1.0,1
2423772.039970619,23.1,1.0,2
2423802.042959962,21.9,1.0,2
2423832.0459493045,21.7,1.0,1
2424102.0728533873,20.2,1.0,1
2424132.07584273,18.3,1.0,1
2424162.0788320727,18.6,1.0,1
2424192.0818214156,16.25,1.0,2
2424402.1027468136,19.6,1.0,1
2424472.109721946,17.875,1.0,2
2424482.1107183937,19.15,1.0,2
2424512.113707736,22.05,1.0,2
2424532.1157006314,21.916666666666668,1.0,3
2424542.1166970786,22.7,1.0,1
2424582.120682869,21.35,1.0,2
2424602.1226757644,18.9,1.0,1
2424802.1426047143,15.4,1.0,1
2424832.145594057,16.1,1.0,1
2424882.1505762944,16.1,1.0,1
2424902.1525691897,18.1,1.0,1
2424912.1535656373,16.4,1.0,1
2425162.1784768254,21.65,1.0,1
2425172.1794732735,22.55,1.0,2
2425192.181466168,19.4,1.0,1
2425252.1874448536,22.1,1.0,2
2425312.1934235385,22.8,1.0,1
2425342.196412881,23.0,1.0,1
2425512.2133524893,25.5,1.0,1
2425532.215345384,26.25,1.0,2
2425552.217338279,26.0,1.0,1
2425562.218334727,24.6,1.0,1
2425572.219331174,24.3,1.0,1
2425582.2203276213,22.6,1.0,1
2425592.2213240694,27.0,1.0,1
2425612.2233169647,21.65,1.1500000000000004,2
2425692.231288545,23.7,1.0,1
2425902.252213943,23.7,1.0,1
2425932.2552032853,22.35,1.3499999999999996,2
2425942.2561997324,23.8,1.0,1
2425952.2571961805,23.1,1.0,1
2425962.2581926277,21.8,1.0,1
2426022.2641713126,20.25,1.0,1
2426252.287089606,18.0,1.0,1
2426292.2910753964,19.3,1.0,1
2426602.3219652697,18.6,1.0,1
2428522.513283195,22.5,1.0,1
2428592.520258328,22.8,1.0,1
2428832.5441730684,20.0,1.0,1
2428892.5501517532,22.1,1.0,1
2428972.558123334,21.0,1.0,1
2429212.5820380747,16.799999999999997,1.0,2
2429322.5929989973,23.1,1.0,1
2429652.625881766,21.6,1.0,1
2429912.6517894017,20.9,1.0,1
2430032.6637467714,20.0,1.0,1
2430772.737483889,17.1,1.0,1
2431052.76538442,19.3,1.0,1
2431072.767377315,19.3,1.0,1
2431402.800260083,14.4,1.0,1
2431432.8032494257,15.3,1.0,1
2431482.8082316634,16.9,1.0,1
2431582.8181961384,18.0,1.0,1
2431712.831149956,19.8,1.0,1
2431782.838125089,16.9,1.0,1
2431812.8411144316,18.3,1.0,1
2432172.8769865427,20.5,1.0,1
2434363.0952085517,22.032258064516128,0.6,1
2434493.1081623696,23.983870967741936,0.6,1
2435223.180903039,18.016129032258064,0.6,1
2436363.294498057,20.032258064516128,0.6,1
2437273.385174782,16.032258064516128,0.6,1
2437303.3881641245,18.8,0.6,1
2437423.400121495,15.935483870967744,0.6,1
2438693.526670331,23.9,0.6,1
2440903.746885235,22.9,1.4000000000000004,2
2440993.7558532627,22.8,0.6,1
2441293.785746689,20.8,0.6,1
2441683.8246081425,21.75,0.6,1
2441723.828593932,25.0,0.6,1
2442313.8873843364,22.65,0.45276925690687087,2
2442343.890373679,23.25,0.3535533905932738,2
2442373.8933630213,22.6,0.3,1
