## https://ui.adsabs.harvard.edu/abs/1975ApJ...198..369B/abstract (Table 2) 
# date, RV
1960-12-31, 18.8
1964-10-21, 23.9
1970-11-12, 24.3
1970-11-14, 21.5
1971-02-14, 22.8
1971-12-06, 20.8
1972-12-28, 21.75
1973-02-08, 25.0
