JD,RV,RV_err,NP
2413851.0539566497,19.5,1.0,1
2413911.06978325,18.6,1.0,1
2413941.0776965497,17.7,1.0,1
2414301.1726561505,18.5,1.0,1
2414331.180569451,17.8,1.0,1
2415411.465448253,24.8,1.0,1
2415771.5604078537,19.8,1.0,1
2416071.639540855,20.1,1.0,1
2416371.718673855,20.5,1.0,1
2416431.7345004557,20.1,1.0,1
2416461.7424137555,18.45,1.0,2
2416551.766153656,19.3,1.0,1
2416581.774066956,19.4,1.0,1
2416851.845286656,21.924999999999997,1.6284578594486259,4
2416881.853199956,27.89,2.8,1
2416911.8611132563,25.3,2.5,1
2417211.940246257,26.46,2.7,1
2417241.948159557,23.2,1.0,1
2417271.956072857,26.64,2.1,1
2417632.051032458,24.700000000000003,1.0,2
2417872.1143388585,22.299999999999997,1.0,2
2417902.122252159,21.0,1.0,10
2417932.1301654587,20.03,1.0,5
2417962.1380787585,20.9,1.0,2
2417992.145992059,21.0,1.0,1
2418022.153905359,20.4,1.0,2
2418052.161818659,20.8,1.0,7
2418202.201385159,20.625,1.0,4
2418322.2330383593,17.15,1.0,4
2418352.2409516596,18.375,1.0,4
2418382.2488649595,18.666666666666668,1.0,3
2418562.29634476,19.46666666666667,1.0,3
2418592.3042580597,19.3,1.0,1
2418622.31217136,19.2,1.0,1
2418652.3200846603,25.7,1.0,1
2418682.32799796,18.85,1.0,4
2418712.33591126,19.950000000000003,1.0,2
2418742.3438245603,20.0,1.3874436925511613,4
2418892.383391061,19.0,1.0,1
2418922.3913043607,19.5,1.0,2
2418952.3992176605,20.9,1.0,1
2418982.407130961,21.35,1.0,2
2419042.422957561,20.32,1.0,1
2419072.430870861,24.0,1.0,1
2419102.438784161,24.1875,1.0,8
2419132.4466974614,22.5,1.0,2
2419282.4862639615,22.233333333333334,1.0,3
2419312.4941772614,21.899999999999995,1.0,3
2419402.517917162,26.666666666666668,1.0,3
2419432.5258304616,24.15,1.0,2
2419462.533743762,24.633333333333336,1.8372685039360892,3
2419492.5416570622,23.100000000000005,1.0,3
2419642.5812235624,20.35,1.0,2
2419672.589136862,21.833333333333332,1.0,3
2419702.5970501625,20.333333333333332,1.0,3
2419792.6207900625,25.4,1.0,1
2419822.628703363,23.4,1.0,1
2420032.684096463,20.55,1.0,1
2421263.0085417656,23.1,1.0,1
