# Digitized from figure of https://iopscience.iop.org/article/10.1086/131347/pdf
# only includes the Goldberg 1979 and other KPNO measurements
2442741.0852713175, 21.03125
2442762.7906976743, 21.203125
2442765.891472868, 21.046875
2442790.6976744183, 20.484375
2442815.503875969, 21.203125
2442837.2093023253, 21.90625
2443029.457364341, 18.34375
2443082.1705426355, 19.03125
2443218.6046511624, 17.890625
2443420.1550387596, 17
2443460.4651162787, 16.171875
2443494.5736434106, 16.000000000000004
2443572.0930232555, 14.203124999999998
2443587.5968992244, 17.015625
2443795.348837209, 17.921875
2443823.2558139535, 17
2443851.1627906975, 17.15625
2444198.449612403, 22.125
2444558.1395348837, 21.9375
2444632.5581395347, 20.40625
